time,x,y
0.000000000000000000e+00,1.511739762216578065e+01,1.149339475683543554e+01
1.600320064012802565e-02,1.493507040598898250e+01,1.216941400611049851e+01
3.200640128025605130e-02,1.463987819665445222e+01,1.284364660806599190e+01
4.800960192038407348e-02,1.446895491406922218e+01,1.352170183649001700e+01
6.401280256051210260e-02,1.408153498558857919e+01,1.403664644922785598e+01
8.001600320064013172e-02,1.377729792645825668e+01,1.469339864790362427e+01
9.601920384076814696e-02,1.336605334447252069e+01,1.522678660612509915e+01
1.120224044808961761e-01,1.307963599635169771e+01,1.569213540855487743e+01
1.280256051210242052e-01,1.276406424047421773e+01,1.613918304704057149e+01
1.440288057611522343e-01,1.245499817974192247e+01,1.656055559236187946e+01
1.600320064012802634e-01,1.206899088399766207e+01,1.685105160224882326e+01
1.760352070414082926e-01,1.168489581847181036e+01,1.699119502187356545e+01
1.920384076815362939e-01,1.141125553039053031e+01,1.708381225288769656e+01
2.080416083216643230e-01,1.098514994543524281e+01,1.705342284989269430e+01
2.240448089617923522e-01,1.066678856286889143e+01,1.704770384576654862e+01
2.400480096019203813e-01,1.031994516505960391e+01,1.688400702729984104e+01
2.560512102420484104e-01,1.005853619759207795e+01,1.670536592426483935e+01
2.720544108821764118e-01,9.790113227589749556e+00,1.641276491915912317e+01
2.880576115223044686e-01,9.477433054776106758e+00,1.604555274508946638e+01
3.040608121624324700e-01,9.298555420752986578e+00,1.573212755669724316e+01
3.200640128025605269e-01,8.964369633238275625e+00,1.529515691148420764e+01
3.360672134426885282e-01,8.881244037871056207e+00,1.478524055818390437e+01
3.520704140828165851e-01,8.632142113348240997e+00,1.422976180727932594e+01
3.680736147229445865e-01,8.514642948772385367e+00,1.382275665476613469e+01
3.840768153630725879e-01,8.371918396819349795e+00,1.325667794302235691e+01
4.000800160032006447e-01,8.156464992058815255e+00,1.258984095428978733e+01
4.160832166433286461e-01,8.011214912871031046e+00,1.214114838853040013e+01
4.320864172834567030e-01,7.835415991858372564e+00,1.158974817657107081e+01
4.480896179235847043e-01,7.824806180648912424e+00,1.107420754968858567e+01
4.640928185637127612e-01,7.662216299899563765e+00,1.048691621927638806e+01
4.800960192038407626e-01,7.631830311050920024e+00,9.956040745178638574e+00
4.960992198439688194e-01,7.686277450903063801e+00,9.500296887170311066e+00
5.121024204840968208e-01,7.573781684860413144e+00,9.040242244609606459e+00
5.281056211242248777e-01,7.605235846792314902e+00,8.665698041867177182e+00
5.441088217643528235e-01,7.536535878852983039e+00,8.055375563715902132e+00
5.601120224044808804e-01,7.496502040749863482e+00,7.785732043951345105e+00
5.761152230446089373e-01,7.542828276750526584e+00,7.326998528107057318e+00
5.921184236847369942e-01,7.591660444606354474e+00,6.918549414134888664e+00
6.081216243248649400e-01,7.484151404823387921e+00,6.678117687963287530e+00
6.241248249649929969e-01,7.544661487158855095e+00,6.398027635744877095e+00
6.401280256051210538e-01,7.584539402585583012e+00,5.952050883986419905e+00
6.561312262452489996e-01,7.596708255202949900e+00,5.633635598168805103e+00
6.721344268853770565e-01,7.599419007097186984e+00,5.442228573077795062e+00
6.881376275255051134e-01,7.747023796475229318e+00,5.215290026044738347e+00
7.041408281656331702e-01,7.741569034581075037e+00,4.991486434801470473e+00
7.201440288057611161e-01,7.832679970175781214e+00,4.758094481913123452e+00
7.361472294458891730e-01,7.899337673802086179e+00,4.430070517284599774e+00
7.521504300860172298e-01,8.013347381788971546e+00,4.320273039442176888e+00
7.681536307261451757e-01,8.094533450584307843e+00,4.054934449824995291e+00
7.841568313662732326e-01,8.110596514775560095e+00,3.842589944743409536e+00
8.001600320064012895e-01,8.299341512996910808e+00,3.802868932105517352e+00
8.161632326465293463e-01,8.367769950588879624e+00,3.551998876426909924e+00
8.321664332866572922e-01,8.526529987441298530e+00,3.405048499802257211e+00
8.481696339267853491e-01,8.559131930856995751e+00,3.373927207754807256e+00
8.641728345669134059e-01,8.599041650788620927e+00,3.245903155297554132e+00
8.801760352070414628e-01,8.803970619741148695e+00,3.125151071796326008e+00
